Date,Bitcoin_price,Ethereum_price,Cardano_price,Ripple_price,S&P500,DJI,NASDAQ,Gold,Silver,Commodities,T_Bill,Oil,Twitter_volume,Google_trends,Bitcoin_price_change,Bitcoin_price_change_percent,Bitcoin +/-
2019-11-09,8798.042055,185.19159919999998,0.042289174000000006,0.279405744,3093.080078,27681.24023,8475.30957,137.389999,15.7,15.64,1.933,57.240002000000004,0,9.0,3.6834099999996397,0.00041883781963947264,increase
2019-11-10,9081.186878,189.72273330000002,0.043714635999999994,0.280568067,3093.080078,27681.24023,8475.30957,137.389999,15.7,15.64,1.933,57.240002000000004,0,9.0,283.14482300000054,0.03218270851968552,increase
2019-11-11,8711.534339,185.35951699999998,0.043382992999999995,0.27451405100000004,3087.01001,27691.49023,8464.280273,137.059998,15.75,15.51,1.943,56.860001000000004,0,9.0,-369.6525390000006,-0.04070531131734745,decrease
2019-11-12,8760.892718000001,186.3251476,0.043537333,0.270965962,3091.840088,27691.49023,8486.089844,137.429993,15.72,15.52,1.909,56.799999,0,9.0,49.35837900000115,0.005665865171308848,increase
2019-11-13,8749.520591,187.251114,0.043252382,0.271484346,3094.040039,27783.589839999997,8482.099609,137.979996,15.83,15.55,1.87,57.119999,0,9.0,-11.372127000000546,-0.0012980557308543972,decrease
2019-11-14,8656.970922,184.80746169999998,0.042662658,0.267960199,3096.6298829999996,27781.960939999997,8479.019531,138.559998,15.9,15.51,1.815,56.77,0,9.0,-92.549669,-0.010577684575678203,decrease
2019-11-15,8500.643558,180.724972,0.044186314000000004,0.262090203,3120.459961,28004.89063,8540.830078,138.21000700000002,15.85,15.61,1.834,57.720001,0,9.0,-156.32736400000067,-0.01805797494395245,decrease
2019-11-16,8469.260898999999,182.1067434,0.043868424,0.261180967,3120.459961,28004.89063,8540.830078,138.21000700000002,15.85,15.61,1.834,57.720001,0,9.0,-31.382659000000785,-0.003691798013394698,decrease
2019-11-17,8537.339651999999,184.192142,0.045333924000000005,0.263856337,3120.459961,28004.89063,8540.830078,138.21000700000002,15.85,15.61,1.834,57.720001,0,9.0,68.07875299999978,0.008038334609344444,increase
2019-11-18,8205.806365999999,178.42218169999998,0.043414005,0.25249825800000003,3122.030029,28036.2207,8549.94043,138.619995,15.92,15.39,1.808,57.049999,0,10.0,-331.53328599999986,-0.03883332507713144,decrease
2019-11-19,8118.488536,175.5936935,0.042453844000000004,0.254546405,3120.179932,27934.01953,8570.660156,138.690002,16.02,15.21,1.786,55.209998999999996,0,10.0,-87.31782999999905,-0.010640981045055176,decrease
2019-11-20,8074.843174,174.7796504,0.04072201,0.249944225,3108.459961,27821.089839999997,8526.730469,138.759995,16.040001,15.41,1.7380000000000002,57.110001000000004,0,10.0,-43.645362000000205,-0.005376045283116748,decrease
2019-11-21,7612.7405739999995,160.5179612,0.038432759,0.242927335,3103.540039,27766.289060000003,8506.209961,138.0,15.99,15.62,1.7719999999999998,58.580002,0,10.0,-462.10260000000017,-0.057227439597578034,decrease
2019-11-22,7262.110535,149.52453219999998,0.036896449,0.229270392,3110.290039,27875.61914,8519.879883,137.740005,15.9,15.58,1.774,57.77,0,10.0,-350.63003899999967,-0.04605831968023655,decrease
2019-11-23,7303.405759,152.136245,0.03751464,0.23421481600000002,3110.290039,27875.61914,8519.879883,137.740005,15.9,15.58,1.774,57.77,0,10.0,41.29522400000042,0.00568639430658302,increase
2019-11-24,7041.732936,144.31528799999998,0.035761813999999996,0.227067858,3110.290039,27875.61914,8519.879883,137.740005,15.9,15.58,1.774,57.77,0,10.0,-261.6728229999999,-0.035828876504299334,decrease
2019-11-25,7211.861809,146.9818122,0.036420623,0.22093458300000002,3133.639893,28066.4707,8632.490234,137.080002,15.78,15.61,1.764,58.009997999999996,0,9.0,170.12887299999966,0.02416008595415997,increase
